Метод,Время (с),Память (МБ),Trustworthiness,Global_Corr
Random Projection (Opt),0.009505299851298332,0.06293,0.5800700619869326,0.5342823851567745
PCA (Opt),0.06238050013780594,19.794054,0.6694606243368515,0.5504796708263688
t-SNE (Opt),20.16972910054028,21.982362,0.9315084827162562,0.8188031249036645
UMAP (Opt),23.65166619978845,91.19672,0.8930459820182052,0.846864849863495
TriMap (Opt),52.04388069920242,41.572946,0.8899559166806277,0.9840749491345558
PaCMAP (Opt),7.912332599982619,28.226416,0.878052069023287,0.9922783756108383
MDS,552.8279657997191,540.178767,0.6805325850226169,0.16973706973213365
